=== DUPLICATE STUBS (appear in 2+ files) ===
6x  [lurek.filled and outlined]  in: render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua, render_00.lua
2x  [LFont:release]  in: render_04.lua, render_05.lua
2x  [LSkeleton:addAnimation]  in: spine_00.lua, spine_01.lua
2x  [lurek.timer.afterReal]  in: timer_00.lua, timer_01.lua
2x  [LSpriteSheet:getFrame]  in: sprite_00.lua, sprite_01.lua
2x  [LImageData:blit]  in: image_00.lua, render_07.lua
2x  [LModManager:getReloadQueue]  in: mods_01.lua, mods_02.lua
2x  [LModManager:setLoadOrder]  in: mods_01.lua, mods_02.lua
2x  [lurek.ui.newToast]  in: ui_07.lua, ui_10.lua
2x  [LModManager:getAllMods]  in: mods_01.lua, mods_02.lua
2x  [LModManager:registerMod]  in: mods_01.lua, mods_02.lua
2x  [LModManager:getModPath]  in: mods_01.lua, mods_02.lua
2x  [LTerminal:autoResize]  in: terminal_00.lua, terminal_02.lua
2x  [lurek.render.getCanvas]  in: render_02.lua, render_06.lua
2x  [lurek.ui.newMenuBar]  in: ui_03.lua, ui_08.lua
2x  [LCatmullRom:sampleSegment]  in: math_02.lua, math_07.lua
2x  [LVec2:rotate]  in: math_04.lua, math_07.lua
2x  [lurek.timer.chain]  in: timer_00.lua, timer_01.lua
2x  [LSpriteManager:typeOf]  in: raycaster_01.lua, raycaster_02.lua
2x  [LVec2:dot]  in: math_04.lua, math_07.lua
2x  [LScheduler:resetEvent]  in: timer_00.lua, timer_01.lua
2x  [LChannel:popBytes]  in: thread_00.lua, thread_01.lua
2x  [lurek.render.setBlendMode]  in: render_01.lua, render_06.lua
2x  [LMod:getConfig]  in: mods_00.lua, mods_02.lua
2x  [LMod:getConfigSchema]  in: mods_00.lua, mods_02.lua
2x  [LNoiseGenerator:setSeed]  in: math_03.lua, math_06.lua
2x  [lurek.spine.newSkeleton]  in: spine_00.lua, spine_01.lua
2x  [LVec2:angle]  in: math_04.lua, math_07.lua
2x  [LCatmullRom:removePoint]  in: math_02.lua, math_07.lua
2x  [lurek.math.rectUnion]  in: math_01.lua, math_06.lua
2x  [LSpriteAtlas:getEntry]  in: sprite_00.lua, sprite_01.lua
2x  [LContentRegistry:register]  in: mods_00.lua, mods_02.lua
2x  [LRandomGenerator:setState]  in: math_05.lua, math_06.lua
2x  [LSkeleton:findBone]  in: spine_00.lua, spine_01.lua
2x  [lurek.scene.preload]  in: scene_01.lua, scene_02.lua
2x  [LChannel:peek]  in: thread_00.lua, thread_01.lua
2x  [LImageData:type]  in: image_00.lua, render_07.lua
2x  [LHeightMap:typeOf]  in: raycaster_01.lua, raycaster_02.lua
2x  [LTerminal:resetCellSize]  in: terminal_00.lua, terminal_02.lua
2x  [LBezierCurve:scale]  in: math_02.lua, math_07.lua
2x  [LSkeletonAnimation:addKeyframe]  in: spine_00.lua, spine_01.lua
2x  [LSkeleton:addBone]  in: spine_00.lua, spine_01.lua
2x  [LScheduler:getInterval]  in: timer_00.lua, timer_01.lua
2x  [LSpinBox:decrement]  in: ui_02.lua, ui_10.lua
2x  [LBezierCurve:removeControlPoint]  in: math_02.lua, math_07.lua
2x  [LSpatialHash:querySegment]  in: math_05.lua, math_07.lua
2x  [LContentRegistry:getAll]  in: mods_00.lua, mods_02.lua
2x  [lurek.terminal.stripAnsi]  in: terminal_01.lua, terminal_02.lua
2x  [lurek.runtime.getPreferredLocales]  in: system_00.lua, system_01.lua

Total duplicates: 361
